episode,steps,done,score,total_reward,state,hp,max_hp,x,y,floor,kills,rooms,floors,time
1,100,False,1.664167,1.57,play,6,6,378.1805555555567,93.31944444444449,1,0,0,0,16.624999999999698
2,100,False,1.650833,1.56,play,6,6,397.1944444444455,192.73611111111094,1,0,0,0,16.508333333333038
3,100,False,1.654167,1.579167,play,6,6,190.56249999999952,140.43055555555557,1,0,0,0,16.54166666666637
4,100,False,1.649167,1.566667,play,6,6,175.31944444444468,464.916666666667,1,0,0,0,16.491666666666372
5,100,False,1.655833,1.578333,play,6,6,1219,94.09722222222226,1,0,0,0,16.558333333333035
6,100,False,1.6475,1.57,play,6,6,603.5833333333338,630.4444444444446,1,0,0,0,16.45833333333304
7,100,False,1.640833,1.56,play,6,6,540.6527777777777,269.5111111111107,1,0,0,0,16.408333333333044
8,100,False,1.645833,1.571667,play,6,6,134.8333333333335,69.66666666666659,1,0,0,0,16.45833333333304
9,100,False,1.630833,1.551667,play,6,6,424.09027777777857,614.1805555555562,1,0,0,0,16.30833333333305
10,100,False,1.629167,1.558333,play,6,6,610.7083333333327,184.3055555555555,1,0,0,0,16.291666666666384
11,100,False,1.6575,1.575,play,6,6,397.0486111111114,480.0944444444446,1,0,0,0,16.5749999999997
12,100,False,1.650833,1.566667,play,6,6,984.23611111111,233.37500000000043,1,0,0,0,16.491666666666372
13,100,False,1.645833,1.565,play,6,6,1212.194444444444,248.80555555555625,1,0,0,0,16.441666666666375
14,100,False,1.6575,1.566667,play,6,6,567.8263888888895,286.955555555555,1,0,0,0,16.5749999999997
15,100,False,1.61,1.529167,play,6,6,1098.0555555555532,61,1,0,0,0,16.099999999999728
16,100,False,1.635833,1.571667,play,6,6,838.8124999999968,363.41388888888827,1,0,0,0,16.358333333333047
17,100,False,1.6625,1.578333,play,6,6,187.5277777777778,129.09444444444395,1,0,0,0,16.624999999999698
18,100,False,1.6325,1.55,play,6,6,421.31944444444497,191.02777777777763,1,0,0,0,16.30833333333305
19,100,False,1.655833,1.565,play,6,6,480.7569444444462,138.94444444444449,1,0,0,0,16.558333333333035
20,100,False,1.650833,1.57,play,6,6,1202.520833333334,324.451388888889,1,0,0,0,16.508333333333038
