kind,episode,steps,score,total_reward,epsilon,q_states,kills,rooms,floors,done,wall_seconds
train,1,100,14.72,5.770755,1.0,18,3,1,0,False,20.26
train,2,100,15.586667,10.714211,0.9891,22,4,1,0,False,18.61
train,3,100,15.720833,6.409066,0.9783,29,4,1,0,False,20.32
train,4,46,1.7725,-10.897833,0.9676,31,1,0,0,True,9.58
train,5,100,1.265833,2.421681,0.9571,33,0,0,0,False,18.01
train,6,100,3.6,-3.072833,0.9467,36,2,0,0,False,18.25
train,7,100,14.630833,11.517281,0.9363,43,3,1,0,False,18.31
train,8,100,3.614167,-0.193,0.9261,47,2,0,0,False,18.38
train,9,100,14.606667,13.549667,0.916,47,3,1,0,False,18.38
train,10,62,1.969167,-6.837638,0.906,56,1,0,0,True,11.68
train,11,76,3.156667,-9.512833,0.8962,58,2,0,0,True,14.46
train,12,56,1.878333,-9.929667,0.8864,59,1,0,0,True,10.63
train,13,78,2.193333,-7.612167,0.8767,59,1,0,0,True,14.78
train,14,100,15.446667,12.490847,0.8672,59,4,1,0,False,18.24
train,15,100,3.5325,-1.274305,0.8577,62,2,0,0,False,18.21
train,16,87,3.333333,-6.468833,0.8483,63,2,0,0,True,15.98
train,17,100,15.505833,10.753139,0.8391,63,4,1,0,False,18.26
train,18,100,15.563333,7.753145,0.8299,64,4,1,0,False,18.48
train,19,52,1.779167,-8.887,0.8209,64,1,0,0,True,10.18
train,20,57,1.918333,-8.753667,0.8119,64,1,0,0,True,11.54
train,21,100,14.351667,5.456264,0.8031,64,3,1,0,False,19.91
train,22,93,1.650833,-8.153,0.7943,64,0,0,0,True,18.44
train,23,100,14.5275,7.471333,0.7857,64,3,1,0,False,19.59
train,24,100,15.745833,14.881939,0.7771,64,4,1,0,False,19.53
train,25,100,14.498333,11.44175,0.7686,65,3,1,0,False,19.01
eval,25,48,1.745833,-10.293333,0.7602,65,1,0,0,True,9.38
eval,25,100,14.615833,8.5775,0.7602,65,3,1,0,False,18.35
eval,25,66,3.016667,-9.021667,0.7602,65,2,0,0,True,12.64
train,26,100,1.346667,2.313625,0.7602,65,0,0,0,False,17.83
train,27,100,14.53,8.635472,0.752,67,3,1,0,False,18.53
train,28,100,14.6625,12.791756,0.7438,67,3,1,0,False,18.71
train,29,57,0.909167,-9.760333,0.7356,67,0,0,0,True,10.91
train,30,100,14.621667,13.5655,0.7276,67,3,1,0,False,18.53
train,31,100,14.674167,15.818195,0.7197,67,3,1,0,False,18.41
train,32,100,14.355833,9.581882,0.7118,67,3,1,0,False,19.43
train,33,62,2.951667,-7.718667,0.7041,67,2,0,0,True,12.31
train,34,100,16.665833,7.996333,0.6964,69,5,1,0,False,20.02
train,35,62,3.23,-6.578,0.6888,69,2,0,0,True,15.34
train,36,100,15.6925,8.655363,0.6813,70,4,1,0,False,20.04
train,37,100,1.255,2.954431,0.6739,71,0,0,0,False,18.41
train,38,100,14.476667,5.378027,0.6665,71,3,1,0,False,18.62
train,39,100,14.649167,14.447459,0.6592,74,3,1,0,False,18.59
train,40,100,14.574167,4.68209,0.6521,74,3,1,0,False,18.4
train,41,100,14.4425,14.248667,0.6449,74,3,1,0,False,18.08
train,42,59,1.890833,-8.775333,0.6379,74,1,0,0,True,11.3
train,43,90,5.378333,-4.4255,0.631,74,4,0,0,True,16.81
train,44,100,1.495,2.4455,0.6241,74,0,0,0,False,18.24
train,45,100,1.235,2.176495,0.6173,74,0,0,0,False,18.47
train,46,96,4.4775,-8.192,0.6105,75,3,0,0,True,17.89
train,47,75,3.180833,-6.628,0.6039,75,2,0,0,True,14.35
train,48,71,3.1075,-8.696333,0.5973,75,2,0,0,True,13.83
train,49,38,1.599167,-9.070333,0.5908,75,1,0,0,True,7.78
train,50,64,1.944167,-8.7295,0.5843,75,1,0,0,True,12.36
eval,50,100,1.751667,1.713333,0.578,75,0,0,0,False,17.85
eval,50,100,1.775833,1.74,0.578,75,0,0,0,False,18.15
eval,50,100,1.675,1.635833,0.578,75,0,0,0,False,17.09
train,51,100,14.633333,4.826167,0.578,75,3,1,0,True,19.49
train,52,78,4.183333,-4.625138,0.5717,75,3,0,0,True,15.42
train,53,100,1.453333,2.361606,0.5654,75,0,0,0,False,17.99
train,54,100,14.519167,4.328667,0.5593,77,3,1,0,False,18.73
train,55,74,3.156667,-5.652638,0.5532,77,2,0,0,True,13.85
train,56,100,14.37,9.049389,0.5471,77,3,1,0,False,18.68
train,57,100,1.11,2.053,0.5412,77,0,0,0,False,17.99
train,58,100,15.584167,16.772362,0.5353,77,4,1,0,False,18.39
train,59,57,1.879167,-8.792,0.5294,77,1,0,0,True,10.88
train,60,90,6.361667,-4.307833,0.5237,77,5,0,0,True,16.94
train,61,100,6.5225,4.720333,0.5179,77,5,0,0,False,18.41
train,62,100,15.5425,7.7345,0.5123,77,4,1,0,False,18.67
train,63,100,14.5925,14.627415,0.5067,77,3,1,0,False,18.28
train,64,100,16.471667,8.6645,0.5012,78,5,1,0,False,18.73
train,65,100,15.436667,8.383833,0.4957,79,4,1,0,False,18.56
train,66,100,14.583333,16.392833,0.4903,79,3,1,0,False,18.21
train,67,100,14.76,3.898865,0.485,79,3,1,0,False,20.22
train,68,55,2.868333,-7.803667,0.4797,79,2,0,0,True,11.5
train,69,95,3.58,-7.091167,0.4745,79,2,0,0,True,18.42
train,70,100,14.648333,15.778378,0.4693,79,3,1,0,False,18.2
train,71,100,14.663333,15.455617,0.4642,80,3,1,0,False,18.6
train,72,100,14.671667,9.567908,0.4591,80,3,1,0,False,18.95
train,73,82,4.243333,-5.563,0.4541,81,3,0,0,True,15.45
train,74,54,0.840833,-9.828667,0.4491,81,0,0,0,True,10.5
