kind,episode,steps,score,total_reward,epsilon,q_states,kills,rooms,floors,done,wall_seconds
train,1306,100,14.388333,16.586167,0.2,131,3,1,0,False,16.24
train,1307,100,15.369167,17.567,0.1984,131,4,1,0,False,16.0
train,1308,100,15.409167,12.554666,0.1967,131,4,1,0,False,16.05
train,1309,100,3.429167,-0.373,0.1951,131,2,0,0,False,16.03
train,1310,100,16.409167,11.589164,0.1935,131,5,1,0,False,16.07
train,1311,100,15.378333,6.350386,0.1919,131,4,1,0,False,16.22
train,1312,67,0.906667,-8.8955,0.1904,131,0,0,0,True,10.99
train,1313,100,15.395,10.72584,0.1888,131,4,1,0,False,16.12
train,1314,100,15.3225,15.559992,0.1873,131,4,1,0,False,16.11
train,1315,95,2.308333,-6.496805,0.1857,131,1,0,0,True,15.24
train,1316,100,4.44,6.637833,0.1842,131,3,0,0,False,16.09
train,1317,100,14.355,9.775862,0.1827,131,3,1,0,False,16.09
train,1318,100,15.396667,18.591528,0.1812,131,4,1,0,False,16.1
train,1319,100,4.380833,6.580333,0.1797,131,3,0,0,False,16.03
train,1320,100,2.318333,-3.483833,0.1783,131,1,0,0,False,16.09
eval,1320,100,14.324167,14.29,0.1768,131,3,1,0,False,16.03
eval,1320,100,14.343333,14.310833,0.1768,131,3,1,0,False,16.0
eval,1320,56,0.755833,-13.278333,0.1768,131,0,0,0,True,9.15
eval,1320,100,16.341667,12.3075,0.1768,131,5,1,0,False,16.08
eval,1320,100,3.420833,-2.61,0.1768,131,2,0,0,False,15.99
train,1321,65,0.88,-8.922167,0.1768,131,0,0,0,True,10.62
train,1322,100,3.444167,3.642,0.1753,131,2,0,0,False,16.12
train,1323,100,3.448333,5.646167,0.1739,131,2,0,0,False,16.11
train,1324,100,3.4125,5.610333,0.1725,131,2,0,0,False,16.1
train,1325,100,1.296667,-6.5055,0.1711,131,0,0,0,False,15.96
train,1326,100,14.360833,14.558667,0.1697,131,3,1,0,False,16.01
train,1327,100,15.3825,13.469118,0.1683,131,4,1,0,False,16.02
train,1328,71,0.9925,-7.814305,0.1669,131,0,0,0,True,11.51
train,1329,100,7.304167,5.500333,0.1655,131,6,0,0,False,16.03
train,1330,100,6.355833,8.552,0.1642,131,5,0,0,False,16.04
train,1331,72,0.954167,-8.849667,0.1628,131,0,0,0,True,11.65
train,1332,100,14.415833,16.613667,0.1615,131,3,1,0,False,16.0
train,1333,100,14.430833,16.515785,0.1602,131,3,1,0,False,16.02
train,1334,100,4.404167,3.599028,0.1589,131,3,0,0,False,16.0
train,1335,100,15.34,17.537833,0.1576,131,4,1,0,False,16.01
eval,1335,100,14.383333,10.3475,0.1563,131,3,1,0,False,16.05
eval,1335,75,1.0225,-11.011667,0.1563,131,0,0,0,True,12.16
eval,1335,100,14.433333,14.399167,0.1563,131,3,1,0,False,16.04
eval,1335,100,14.393333,14.359167,0.1563,131,3,1,0,False,15.95
eval,1335,98,2.369167,-9.665,0.1563,131,1,0,0,True,15.76
train,1336,100,16.34,18.447347,0.1563,131,5,1,0,False,16.08
train,1337,100,15.395,10.590786,0.155,131,4,1,0,False,16.11
