kind,episode,steps,score,total_reward,epsilon,q_states,kills,rooms,floors,done,wall_seconds
train,1176,100,15.39,11.508821,0.15,130,4,1,0,False,16.2
train,1177,100,14.406667,8.497215,0.1488,130,3,1,0,False,16.0
train,1178,58,0.79,-9.012167,0.1476,130,0,0,0,True,9.51
train,1179,100,1.534167,3.260968,0.1463,130,0,0,0,False,16.0
train,1180,100,15.368333,12.572856,0.1451,130,4,1,0,False,16.01
train,1181,100,14.400833,12.491281,0.144,130,3,1,0,False,15.96
train,1182,100,14.445,16.000644,0.1428,130,3,1,0,False,16.0
train,1183,100,14.343333,11.284084,0.1416,130,3,1,0,False,15.98
train,1184,100,14.404167,11.945743,0.1404,130,3,1,0,False,16.05
train,1185,100,14.411667,11.533172,0.1393,130,3,1,0,False,15.94
train,1186,100,1.49,2.990472,0.1382,130,0,0,0,False,15.99
train,1187,100,14.415833,9.719163,0.137,130,3,1,0,False,15.97
train,1188,100,14.4375,15.939253,0.1359,130,3,1,0,False,16.0
train,1189,77,2.0425,-7.761333,0.1348,130,1,0,0,True,12.44
train,1190,100,1.541667,2.118295,0.1337,130,0,0,0,False,16.02
train,1191,100,4.34,-3.462167,0.1326,130,3,0,0,False,15.94
train,1192,100,16.341667,16.541167,0.1315,130,5,1,0,False,15.95
train,1193,100,4.364167,5.559028,0.1304,130,3,0,0,False,15.98
train,1194,100,14.35,7.683833,0.1294,130,3,1,0,False,16.02
train,1195,100,15.3825,15.580333,0.1283,130,4,1,0,False,15.98
train,1196,100,14.419167,11.974415,0.1273,130,3,1,0,False,15.95
train,1197,100,8.25,7.446528,0.1262,130,7,0,0,False,15.96
train,1198,100,1.545,2.397778,0.1252,130,0,0,0,False,16.0
train,1199,100,14.43,13.991908,0.1242,130,3,1,0,False,15.97
train,1200,100,1.538333,4.127014,0.1231,130,0,0,0,False,15.96
eval,1200,100,5.305833,-4.728333,0.1221,130,4,0,0,False,16.07
eval,1200,100,15.345833,9.311667,0.1221,130,4,1,0,False,15.93
eval,1200,100,5.3725,3.338333,0.1221,130,4,0,0,False,15.99
eval,1200,100,15.355,7.320833,0.1221,130,4,1,0,False,15.99
eval,1200,100,15.395833,9.36,0.1221,130,4,1,0,False,15.95
train,1201,100,14.450833,11.487393,0.1221,130,3,1,0,False,15.96
train,1202,100,14.403333,16.601167,0.1211,130,3,1,0,False,15.95
train,1203,100,5.303333,0.498195,0.1201,130,4,0,0,False,15.92
train,1204,100,14.434167,16.973777,0.1191,130,3,1,0,False,15.95
train,1205,100,14.3175,6.130333,0.1182,130,3,1,0,False,15.87
train,1206,100,7.278333,3.4745,0.1172,130,6,0,0,False,15.92
train,1207,100,3.3575,-3.449305,0.1162,131,2,0,0,False,15.95
train,1208,100,4.345,-1.4555,0.1153,131,3,0,0,False,15.89
train,1209,100,14.386667,10.078893,0.1143,131,3,1,0,False,15.86
train,1210,100,1.529167,2.037574,0.1134,131,0,0,0,False,15.92
train,1211,100,16.308333,12.397379,0.1125,131,5,1,0,False,15.94
train,1212,87,3.161667,-8.638833,0.1116,131,2,0,0,True,13.9
train,1213,100,14.3825,14.580333,0.1106,131,3,1,0,False,15.95
train,1214,100,16.311667,10.149092,0.1097,131,5,1,0,False,15.95
train,1215,100,1.541667,2.425148,0.1088,131,0,0,0,False,15.99
train,1216,100,3.384167,-3.417638,0.108,131,2,0,0,False,15.97
train,1217,100,14.420833,13.953285,0.1071,131,3,1,0,False,15.93
train,1218,100,15.378333,11.79591,0.1062,131,4,1,0,False,15.92
train,1219,100,14.361667,8.860529,0.1053,131,3,1,0,False,15.96
train,1220,100,15.399167,15.582429,0.1045,131,4,1,0,False,15.94
train,1221,100,14.305,8.639859,0.1036,131,3,1,0,False,15.97
train,1222,100,14.379167,14.578667,0.1028,131,3,1,0,False,15.88
train,1223,100,1.54,2.512994,0.1019,131,0,0,0,False,15.98
train,1224,100,15.365,10.724711,0.1011,131,4,1,0,False,15.89
train,1225,91,3.248333,-9.555138,0.1003,131,2,0,0,True,14.51
eval,1225,100,14.380833,12.346667,0.0994,131,3,1,0,False,15.9
eval,1225,100,14.388333,14.354167,0.0994,131,3,1,0,False,15.94
eval,1225,100,1.538333,1.504167,0.0994,131,0,0,0,False,15.99
eval,1225,100,15.376667,11.3425,0.0994,131,4,1,0,False,16.02
eval,1225,100,14.413333,10.379167,0.0994,131,3,1,0,False,15.9
