kind,episode,steps,score,total_reward,epsilon,q_states,kills,rooms,floors,done,wall_seconds
train,1176,100,16.355833,15.553766,0.1,130,5,1,0,False,16.19
train,1177,100,1.444167,2.778,0.1,130,0,0,0,False,16.06
train,1178,92,3.286667,-7.381167,0.1,130,2,0,0,True,14.78
train,1179,89,5.090833,-6.711333,0.1,130,4,0,0,True,14.35
train,1180,100,3.3875,3.583667,0.1,130,2,0,0,False,16.0
train,1181,100,15.42,16.953528,0.1,130,4,1,0,False,15.96
train,1182,100,14.439167,16.307115,0.1,130,3,1,0,False,15.97
train,1183,97,3.294167,-6.508,0.1,130,2,0,0,True,15.58
train,1184,100,14.431667,13.968375,0.1,130,3,1,0,False,15.99
train,1185,100,14.39,8.031324,0.1,130,3,1,0,False,16.01
train,1186,100,3.394167,-3.410972,0.1,130,2,0,0,False,16.01
train,1187,79,2.0625,-6.742638,0.1,130,1,0,0,True,12.75
train,1188,100,14.418333,16.616167,0.1,130,3,1,0,False,15.9
train,1189,100,14.44,16.189853,0.1,130,3,1,0,False,15.94
train,1190,100,15.444167,17.535924,0.1,130,4,1,0,False,15.96
train,1191,100,14.369167,12.568667,0.1,130,3,1,0,False,15.93
train,1192,100,4.314167,-1.488,0.1,130,3,0,0,False,16.06
train,1193,100,15.383333,12.080611,0.1,130,4,1,0,False,16.06
train,1194,100,3.393333,-2.4105,0.1,130,2,0,0,False,16.04
train,1195,100,5.241667,-3.563472,0.1,130,4,0,0,False,15.98
train,1196,100,14.435833,15.851474,0.1,130,3,1,0,False,15.97
train,1197,100,15.423333,16.923127,0.1,130,4,1,0,False,15.99
train,1198,100,15.405833,15.122394,0.1,130,4,1,0,False,16.03
train,1199,100,15.4025,15.983241,0.1,130,4,1,0,False,15.98
train,1200,100,14.425833,12.97753,0.1,130,3,1,0,False,15.92
eval,1200,100,14.454167,14.418333,0.1,130,3,1,0,False,16.01
eval,1200,86,2.193333,-9.8425,0.1,130,1,0,0,True,13.81
eval,1200,79,4.021667,-8.0125,0.1,130,3,0,0,True,12.77
eval,1200,100,15.42,15.385833,0.1,130,4,1,0,False,15.98
eval,1200,100,15.414167,13.38,0.1,130,4,1,0,False,15.98
train,1201,100,15.3975,13.319215,0.1,130,4,1,0,False,15.97
train,1202,100,16.315833,12.880269,0.1,130,5,1,0,False,16.04
train,1203,100,2.425,2.622833,0.1,130,1,0,0,False,16.02
train,1204,100,14.431667,14.88107,0.1,130,3,1,0,False,15.98
train,1205,100,14.405,16.601167,0.1,130,3,1,0,False,15.96
train,1206,65,2.824167,-6.979667,0.1,130,2,0,0,True,10.59
train,1207,100,15.309167,7.499551,0.1,130,4,1,0,False,15.95
train,1208,100,15.321667,8.552241,0.1,130,4,1,0,False,15.99
train,1209,100,14.410833,12.081496,0.1,130,3,1,0,False,15.97
train,1210,100,6.2325,-0.572638,0.1,130,5,0,0,False,16.02
train,1211,100,1.4425,3.640333,0.1,130,0,0,0,False,15.92
train,1212,100,15.3775,16.654164,0.1,130,4,1,0,False,15.98
train,1213,100,14.400833,9.374511,0.1,130,3,1,0,False,16.04
train,1214,100,15.306667,10.6405,0.1,130,4,1,0,False,16.0
train,1215,100,14.376667,16.231653,0.1,130,3,1,0,False,15.98
train,1216,100,1.54,4.226389,0.1,130,0,0,0,False,16.0
train,1217,100,14.420833,15.881887,0.1,130,3,1,0,False,15.97
train,1218,100,14.411667,16.607833,0.1,130,3,1,0,False,16.02
train,1219,100,2.463333,4.6595,0.1,130,1,0,0,False,15.98
train,1220,100,15.365,10.324938,0.1,130,4,1,0,False,15.99
train,1221,100,1.536667,2.30923,0.1,130,0,0,0,False,15.96
