kind,episode,steps,score,total_reward,epsilon,q_states,kills,rooms,floors,done,wall_seconds
train,1306,100,15.369167,15.908887,0.25,131,4,1,0,False,16.28
train,1307,100,15.3075,15.507,0.248,131,4,1,0,False,16.1
train,1308,94,1.269167,-7.535972,0.2459,131,0,0,0,True,15.15
train,1309,100,15.3475,10.96283,0.2439,131,4,1,0,False,16.09
train,1310,100,16.306667,16.5045,0.2419,131,5,1,0,False,16.07
train,1311,100,15.3575,15.555333,0.2399,131,4,1,0,False,16.05
train,1312,100,15.359167,18.552362,0.238,131,4,1,0,False,16.06
train,1313,100,15.375833,15.572,0.236,131,4,1,0,False,16.07
train,1314,100,3.3825,4.575695,0.2341,131,2,0,0,False,16.11
train,1315,70,1.931667,-7.8705,0.2322,131,1,0,0,True,11.43
train,1316,100,15.374167,17.572,0.2303,131,4,1,0,False,16.1
train,1317,100,15.39,14.088944,0.2284,131,4,1,0,False,16.04
train,1318,98,2.288333,-7.513833,0.2265,131,1,0,0,True,15.78
train,1319,100,14.385833,15.444431,0.2247,131,3,1,0,False,16.09
train,1320,100,14.356667,16.552833,0.2228,131,3,1,0,False,16.08
eval,1320,100,16.373333,14.3375,0.221,131,5,1,0,False,16.13
eval,1320,100,14.360833,12.325,0.221,131,3,1,0,False,16.1
eval,1320,100,16.339167,14.305,0.221,131,5,1,0,False,16.04
eval,1320,100,15.3975,15.363333,0.221,131,4,1,0,False,16.06
eval,1320,100,14.3475,12.313333,0.221,131,3,1,0,False,15.99
train,1321,100,15.3975,17.696418,0.221,131,4,1,0,False,16.11
train,1322,100,4.345833,6.543667,0.2192,131,3,0,0,False,16.14
train,1323,100,14.460833,15.531653,0.2174,131,3,1,0,False,16.14
train,1324,100,15.384167,17.582,0.2156,131,4,1,0,False,16.05
train,1325,100,3.343333,-3.460138,0.2138,131,2,0,0,False,16.08
train,1326,100,16.296667,16.496167,0.2121,131,5,1,0,False,16.04
train,1327,100,16.314167,10.393938,0.2103,131,5,1,0,False,16.15
train,1328,100,15.389167,13.28389,0.2086,131,4,1,0,False,16.07
train,1329,86,2.146667,-7.6555,0.2069,131,1,0,0,True,13.89
train,1330,100,14.459167,16.549397,0.2052,131,3,1,0,False,16.05
train,1331,100,14.373333,12.847977,0.2035,131,3,1,0,False,16.02
train,1332,100,15.3875,18.582362,0.2019,131,4,1,0,False,16.1
train,1333,100,3.419167,6.612362,0.2002,131,2,0,0,False,16.09
train,1334,100,5.378333,5.576167,0.1986,131,4,0,0,False,16.12
train,1335,100,14.391667,16.504639,0.197,131,3,1,0,False,16.09
eval,1335,100,3.4575,3.423333,0.1953,131,2,0,0,False,16.14
eval,1335,76,1.984167,-10.05,0.1953,131,1,0,0,True,12.35
eval,1335,100,5.3875,1.351667,0.1953,131,4,0,0,False,16.23
eval,1335,100,3.49,3.455833,0.1953,131,2,0,0,False,16.09
eval,1335,100,6.336667,6.3025,0.1953,131,5,0,0,False,16.18
train,1336,100,14.405,17.599862,0.1953,131,3,1,0,False,16.0
train,1337,100,14.3475,16.545333,0.1937,131,3,1,0,False,16.07
train,1338,100,14.374167,13.790545,0.1922,131,3,1,0,False,16.08
train,1339,100,15.443333,17.425632,0.1906,131,4,1,0,False,16.14
train,1340,100,3.419167,4.751333,0.189,131,2,0,0,False,16.11
train,1341,100,3.399167,-1.268667,0.1875,131,2,0,0,False,16.14
train,1342,100,15.291667,17.4895,0.1859,131,4,1,0,False,15.98
train,1343,100,16.325,15.785171,0.1844,131,5,1,0,False,16.13
train,1344,67,1.868333,-7.933833,0.1829,131,1,0,0,True,10.93
train,1345,100,15.429167,16.946297,0.1814,131,4,1,0,False,16.02
train,1346,100,14.323333,16.521167,0.1799,131,3,1,0,False,16.06
train,1347,100,14.475833,17.561425,0.1784,131,3,1,0,False,16.18
train,1348,74,0.9975,-9.807638,0.177,131,0,0,0,True,12.03
train,1349,100,16.365833,14.348408,0.1755,131,5,1,0,False,16.11
train,1350,100,15.379167,15.457233,0.1741,131,4,1,0,False,16.11
eval,1350,100,5.369167,3.333333,0.1727,131,4,0,0,False,16.18
eval,1350,100,14.304167,14.27,0.1727,131,3,1,0,False,16.06
eval,1350,61,0.826667,-11.2075,0.1727,131,0,0,0,True,10.14
eval,1350,100,5.386667,1.350833,0.1727,131,4,0,0,False,16.13
eval,1350,100,16.324167,10.288333,0.1727,131,5,1,0,False,16.35
train,1351,56,2.758333,-7.043833,0.1727,131,2,0,0,True,9.22
train,1352,100,16.376667,17.7105,0.1713,131,5,1,0,False,16.1
