kind,episode,steps,score,total_reward,epsilon,q_states,kills,rooms,floors,done,wall_seconds
train,1306,100,14.360833,15.323802,0.14,131,3,1,0,False,16.26
train,1307,100,14.4025,16.602,0.1389,131,3,1,0,False,16.18
train,1308,100,15.3975,16.189329,0.1377,131,4,1,0,False,16.22
train,1309,100,16.3625,15.677524,0.1366,131,5,1,0,False,16.22
train,1310,100,15.3475,13.184784,0.1355,131,4,1,0,False,16.17
train,1311,100,15.361667,15.5595,0.1344,131,4,1,0,False,16.12
train,1312,100,14.389167,17.585695,0.1333,131,3,1,0,False,16.07
train,1313,100,2.446667,1.639862,0.1322,131,1,0,0,False,16.11
train,1314,100,15.358333,17.5545,0.1311,131,4,1,0,False,16.16
train,1315,100,4.454167,6.652,0.13,131,3,0,0,False,16.16
train,1316,100,4.396667,2.596167,0.1289,131,3,0,0,False,16.04
train,1317,93,2.270833,-6.534305,0.1279,131,1,0,0,True,14.99
train,1318,100,14.305833,13.177972,0.1268,131,3,1,0,False,16.0
train,1319,92,4.2525,-4.554305,0.1258,131,3,0,0,True,14.8
train,1320,100,1.4875,4.56948,0.1248,131,0,0,0,False,15.91
eval,1320,100,14.379167,12.345,0.1238,131,3,1,0,False,16.05
eval,1320,89,1.259167,-10.775,0.1238,131,0,0,0,True,14.31
eval,1320,100,14.384167,10.348333,0.1238,131,3,1,0,False,16.09
eval,1320,100,14.38,14.3475,0.1238,131,3,1,0,False,16.0
eval,1320,100,15.364167,15.33,0.1238,131,4,1,0,False,16.09
train,1321,100,14.4425,16.529118,0.1238,131,3,1,0,False,16.05
train,1322,100,15.391667,17.5895,0.1227,131,4,1,0,False,16.09
