kind,episode,steps,score,total_reward,epsilon,q_states,kills,rooms,floors,done,wall_seconds
train,1176,93,1.305,-8.497167,0.25,145,0,0,0,True,17.83
train,1177,100,3.448333,2.643195,0.248,165,2,0,0,False,16.01
train,1178,100,14.435,10.772724,0.2459,178,3,1,0,False,16.01
train,1179,100,15.428333,14.715358,0.2439,193,4,1,0,False,16.02
train,1180,100,4.3875,2.587,0.2419,201,3,0,0,False,16.0
train,1181,100,14.380833,7.837736,0.2399,213,3,1,0,False,16.08
train,1182,100,14.433333,9.379442,0.238,219,3,1,0,False,16.0
train,1183,100,4.358333,-3.4455,0.236,228,3,0,0,False,16.01
train,1184,100,4.3525,-3.449667,0.2341,237,3,0,0,False,16.02
train,1185,100,3.485,5.681167,0.2322,240,2,0,0,False,15.99
train,1186,70,1.9425,-7.859667,0.2303,247,1,0,0,True,11.38
train,1187,84,3.154167,-7.650972,0.2284,260,2,0,0,True,13.54
train,1188,100,15.375833,6.617501,0.2265,268,4,1,0,False,16.0
train,1189,100,4.359167,-0.445972,0.2247,277,3,0,0,False,15.99
train,1190,100,3.410833,-0.389667,0.2228,288,2,0,0,False,16.02
train,1191,100,15.300833,3.806477,0.221,296,4,1,0,False,16.04
train,1192,100,3.378333,-6.423833,0.2192,299,2,0,0,True,16.03
train,1193,100,14.36,5.030107,0.2174,307,3,1,0,False,16.04
train,1194,85,3.140833,-6.659667,0.2156,310,2,0,0,True,13.63
train,1195,72,1.974167,-7.826333,0.2138,316,1,0,0,True,11.59
train,1196,66,1.890833,-8.777,0.2121,319,1,0,0,True,10.71
train,1197,98,2.3925,-6.414305,0.2103,322,1,0,0,True,15.7
train,1198,100,1.538333,4.399653,0.2086,329,0,0,0,False,15.98
train,1199,100,15.348333,4.550803,0.2069,335,4,1,0,False,16.02
train,1200,100,4.3625,-0.442638,0.2052,345,3,0,0,False,15.96
eval,1200,100,4.401667,0.369167,0.2035,349,3,0,0,False,15.94
eval,1200,100,14.345,6.309167,0.2035,351,3,1,0,False,15.98
eval,1200,100,4.335833,-5.696667,0.2035,356,3,0,0,False,15.95
eval,1200,100,3.358333,-6.675833,0.2035,362,2,0,0,False,16.03
eval,1200,100,3.445833,1.413333,0.2035,365,2,0,0,False,15.97
train,1201,63,1.805833,-7.996333,0.2035,375,1,0,0,True,10.29
train,1202,100,3.395833,0.589028,0.2019,380,2,0,0,False,16.02
train,1203,66,0.884167,-10.919667,0.2002,383,0,0,0,True,10.8
train,1204,93,3.275,-9.3895,0.1986,393,2,0,0,True,14.94
train,1205,100,5.340833,1.538667,0.197,394,4,0,0,False,16.02
train,1206,100,15.355833,6.930343,0.1953,396,4,1,0,False,16.01
